lesion_id,status,n_comp,n_specks,largest_frac,raw_area,lcc_area,area_ratio,box_iou
Mass-Training_P_00027_RIGHT_MLO_1,ok,15,14,0.9997837178894798,151739,151739,1.0,1.0
Mass-Training_P_00023_RIGHT_MLO_1,ok,4,3,0.9998126428598194,46762,46762,1.0,1.0
Mass-Training_P_00034_RIGHT_MLO_1,ok,25,24,0.9996072410468811,140096,140096,1.0,1.0
Mass-Training_P_00034_RIGHT_CC_1,ok,17,16,0.9997571886177495,171430,171430,1.0,1.0
Mass-Training_P_00041_LEFT_CC_1,ok,9,8,0.9988918132705361,24165,23986,1.007462686567164,0.9925925925925926
Mass-Training_P_00027_RIGHT_CC_1,ok,22,21,0.9994815233785822,94094,93436,1.0070422535211268,0.993006993006993
Mass-Training_P_00041_LEFT_MLO_1,ok,8,7,0.9991005460970125,28036,28036,1.0,1.0
Mass-Training_P_00051_LEFT_CC_1,ok,30,28,0.9997913188647746,400542,400542,1.0,1.0
Mass-Training_P_00044_RIGHT_MLO_1,ok,13,12,0.9999213451194646,256320,256320,1.0,1.0
Mass-Training_P_00044_RIGHT_CC_2,ok,21,20,0.9995244737509511,97818,97818,1.0,1.0
Mass-Training_P_00044_RIGHT_CC_3,ok,6,5,0.9994573475146517,15360,15104,1.0169491525423728,0.9833333333333333
Mass-Training_P_00051_LEFT_MLO_1,ok,27,26,0.9998338156732086,393720,393720,1.0,1.0
Mass-Training_P_00044_RIGHT_CC_4,ok,24,23,0.9997629401955335,181830,181830,1.0,1.0
Mass-Training_P_00044_RIGHT_MLO_2,ok,10,9,0.9999269913119662,248878,248878,1.0,1.0
Mass-Training_P_00046_RIGHT_MLO_1,ok,1,0,1.0,133796,133796,1.0,1.0
Mass-Training_P_00045_LEFT_MLO_1,ok,9,8,0.999789628694646,58080,58080,1.0,1.0
Mass-Training_P_00045_LEFT_CC_1,ok,15,14,0.9997038627403801,97680,97680,1.0,1.0
Mass-Training_P_00057_RIGHT_CC_1,ok,11,10,0.9996057226540498,75609,75609,1.0,1.0
Mass-Training_P_00055_LEFT_CC_1,ok,24,22,0.999539301155291,172334,172334,1.0,1.0
Mass-Training_P_00054_RIGHT_MLO_1,ok,17,16,0.9994049305752338,56334,55842,1.0088105726872247,0.9912663755458515
Mass-Training_P_00059_LEFT_MLO_1,ok,5,4,0.9996431583728022,53800,53000,1.0150943396226415,0.9851301115241635
Mass-Training_P_00059_LEFT_CC_1,ok,11,10,0.9995322262688362,51815,51815,1.0,1.0
Mass-Training_P_00057_RIGHT_MLO_1,ok,16,15,0.9993217332324629,66120,66120,1.0,1.0
Mass-Training_P_00064_RIGHT_MLO_1,ok,24,23,0.9998061463025258,260160,260160,1.0,1.0
Mass-Training_P_00061_RIGHT_CC_1,ok,18,17,0.9988190739911227,41128,40934,1.004739336492891,0.9952830188679245
Mass-Training_P_00058_RIGHT_CC_1,ok,19,18,0.9997797125773629,155296,155296,1.0,1.0
Mass-Training_P_00061_RIGHT_MLO_1,ok,16,15,0.9995028531903856,71550,71550,1.0,1.0
Mass-Training_P_00068_RIGHT_CC_1,ok,11,9,0.9997023071198213,175392,175392,1.0,1.0
Mass-Training_P_00065_LEFT_CC_1,ok,18,17,0.9997473120317376,122840,122840,1.0,1.0
Mass-Training_P_00068_RIGHT_MLO_1,ok,18,17,0.9997016180439706,117710,117710,1.0,1.0
Mass-Training_P_00065_LEFT_MLO_1,ok,20,19,0.9997814661436423,140890,140525,1.0025974025974025,0.9974093264248705
Mass-Training_P_00074_RIGHT_CC_1,ok,8,7,0.9995068303989743,36400,36400,1.0,1.0
Mass-Training_P_00079_RIGHT_CC_1,ok,32,31,0.9997847639211621,344533,344533,1.0,1.0
Mass-Training_P_00074_LEFT_MLO_1,ok,17,16,0.9997635312664215,109440,109440,1.0,1.0
Mass-Training_P_00080_RIGHT_CC_1,ok,16,15,0.9997233420282982,116490,116137,1.0030395136778116,0.996969696969697
Mass-Training_P_00081_RIGHT_CC_1,ok,14,13,0.9998092740493504,123868,123868,1.0,1.0
Mass-Training_P_00080_RIGHT_MLO_1,ok,20,19,0.9997223487078108,141200,141200,1.0,1.0
Mass-Training_P_00079_RIGHT_MLO_1,ok,28,27,0.9996272517039922,215380,215380,1.0,1.0
Mass-Training_P_00081_RIGHT_MLO_1,ok,8,7,0.9998621336200954,108225,108225,1.0,1.0
Mass-Training_P_00086_RIGHT_CC_1,ok,10,9,0.9996950010674963,47586,47586,1.0,1.0
Mass-Training_P_00076_LEFT_MLO_1,ok,3,2,0.9998996118324187,43248,43248,1.0,1.0
Mass-Training_P_00074_RIGHT_MLO_1,ok,8,7,0.9994078380706287,32870,32870,1.0,1.0
Mass-Training_P_00076_LEFT_CC_1,ok,12,11,0.9994452978323946,38218,38218,1.0,1.0
Mass-Training_P_00092_RIGHT_CC_1,ok,2,1,0.9993431136413401,6545,6380,1.0258620689655173,0.9747899159663865
Mass-Training_P_00092_RIGHT_MLO_1,ok,7,6,0.9996076508092202,31872,31680,1.006060606060606,0.9939759036144579
Mass-Training_P_00092_LEFT_MLO_1,ok,15,14,0.9997071265863977,101361,101361,1.0,1.0
Mass-Training_P_00092_LEFT_CC_1,ok,8,7,0.999898449664884,123840,123840,1.0,1.0
Mass-Training_P_00090_LEFT_CC_1,ok,14,13,0.9995971351835273,116046,115739,1.0026525198938991,0.9973544973544973
Mass-Training_P_00086_RIGHT_MLO_1,ok,11,10,0.9993687078446357,47088,47088,1.0,1.0
Mass-Training_P_00092_LEFT_MLO_2,ok,17,16,0.9997468577340465,128492,128492,1.0,1.0
Mass-Training_P_00092_RIGHT_MLO_2,ok,15,14,0.9990162515248101,43255,43255,1.0,1.0
Mass-Training_P_00090_LEFT_MLO_1,ok,15,14,0.9996009400079812,82350,82350,1.0,1.0
Mass-Training_P_00094_RIGHT_CC_1,ok,9,8,0.9998207421275918,76544,76544,1.0,1.0
Mass-Training_P_00094_RIGHT_MLO_1,ok,19,18,0.9995922963423157,76450,76450,1.0,1.0
Mass-Training_P_00096_RIGHT_CC_1,ok,14,13,0.9997448266643985,132066,132066,1.0,1.0
Mass-Training_P_00095_LEFT_CC_1,ok,15,14,0.999641938010518,70488,70488,1.0,1.0
Mass-Training_P_00096_RIGHT_MLO_1,ok,13,12,0.9996896734269181,108097,107415,1.0063492063492063,0.9936908517350158
Mass-Training_P_00106_LEFT_MLO_1,ok,21,20,0.997705233548005,24167,24167,1.0,1.0
Mass-Training_P_00106_LEFT_CC_2,ok,1,0,1.0,19575,19575,1.0,1.0
Mass-Training_P_00106_LEFT_CC_1,ok,8,7,0.9963774366051406,10368,10152,1.0212765957446808,0.9791666666666666
Mass-Training_P_00095_LEFT_MLO_1,ok,14,13,0.9993005362555374,63120,62857,1.00418410041841,0.9958333333333333
Mass-Training_P_00106_LEFT_MLO_2,ok,9,7,0.997123595505618,17760,17760,1.0,1.0
Mass-Training_P_00106_LEFT_CC_3,ok,7,6,0.9990392432192743,21545,21390,1.0072463768115942,0.9928057553956835
Mass-Training_P_00106_LEFT_MLO_5,ok,7,6,0.9992941304229788,32308,32308,1.0,1.0
Mass-Training_P_00106_LEFT_MLO_3,ok,7,6,0.9995574894903754,26180,26010,1.0065359477124183,0.9935064935064936
Mass-Training_P_00106_RIGHT_MLO_3,ok,6,5,0.9991162731978286,16006,16006,1.0,1.0
Mass-Training_P_00106_LEFT_MLO_4,ok,7,6,0.9988490312679839,19596,18886,1.037593984962406,0.9637681159420289
Mass-Training_P_00106_RIGHT_MLO_1,ok,6,5,0.9987562189054726,7224,7138,1.0120481927710843,0.9880952380952381
Mass-Training_P_00106_RIGHT_CC_3,ok,7,6,0.9987978142076502,15930,15930,1.0,1.0
Mass-Training_P_00106_RIGHT_MLO_2,ok,15,13,0.998284625158831,32490,32490,1.0,1.0
Mass-Training_P_00106_RIGHT_CC_4,ok,1,0,1.0,12896,12896,1.0,1.0
Mass-Training_P_00107_RIGHT_MLO_1,ok,10,9,0.9997642520360052,77982,77982,1.0,1.0
Mass-Training_P_00106_RIGHT_CC_2,ok,7,6,0.997822367397729,11748,11748,1.0,1.0
Mass-Training_P_00110_LEFT_MLO_1,ok,48,47,0.9998675762806287,736656,736656,1.0,1.0
Mass-Training_P_00119_LEFT_MLO_1,ok,1,0,1.0,18354,18354,1.0,1.0
Mass-Training_P_00109_LEFT_CC_1,ok,5,4,0.9998304395008139,52272,52272,1.0,1.0
Mass-Training_P_00108_LEFT_CC_1,ok,6,4,0.9983946858566288,30832,30456,1.0123456790123457,0.9878048780487805
Mass-Training_P_00110_LEFT_CC_1,ok,24,23,0.9998421254426126,535625,535625,1.0,1.0
Mass-Training_P_00108_LEFT_MLO_1,ok,9,8,0.9994487016924858,32706,32706,1.0,1.0
Mass-Training_P_00119_LEFT_CC_1,ok,15,14,0.9994671923701948,61000,60756,1.0040160642570282,0.996
Mass-Training_P_00110_RIGHT_CC_1,ok,16,15,0.9996134518747584,63754,63754,1.0,1.0
Mass-Training_P_00122_RIGHT_MLO_1,ok,17,16,0.9994769737702346,58032,58032,1.0,1.0
Mass-Training_P_00120_LEFT_CC_1,ok,21,20,0.9998962843882075,400960,400960,1.0,1.0
Mass-Training_P_00117_LEFT_MLO_1,ok,6,5,0.999864281642735,50175,50175,1.0,1.0
Mass-Training_P_00133_LEFT_CC_1,ok,23,22,0.9995738006750997,106140,106140,1.0,1.0
Mass-Training_P_00133_LEFT_MLO_1,ok,12,11,0.9997532835062768,109077,109077,1.0,1.0
Mass-Training_P_00120_LEFT_MLO_1,ok,39,38,0.9998330029696428,629160,629160,1.0,1.0
Mass-Training_P_00134_LEFT_CC_1,ok,7,6,0.9995574396720395,68120,68120,1.0,1.0
Mass-Training_P_00148_RIGHT_MLO_1,ok,7,6,0.9998026516442706,81810,81810,1.0,1.0
Mass-Training_P_00137_LEFT_CC_1,ok,7,6,0.9996457669146298,53560,53560,1.0,1.0
Mass-Training_P_00137_LEFT_MLO_1,ok,7,6,0.9995199519951995,22950,22950,1.0,1.0
Mass-Training_P_00148_RIGHT_CC_1,ok,27,24,0.997420577474798,64260,63495,1.0120481927710843,0.9880952380952381
Mass-Training_P_00128_LEFT_CC_1,ok,31,30,0.999804567645001,423114,423114,1.0,1.0
Mass-Training_P_00146_RIGHT_CC_1,ok,17,15,0.9997726176149252,274445,274445,1.0,1.0
Mass-Training_P_00134_LEFT_MLO_1,ok,4,3,0.9999456625098486,137228,137228,1.0,1.0
Mass-Training_P_00149_LEFT_CC_1,ok,21,20,0.9996138399752857,115150,115150,1.0,1.0
Mass-Training_P_00146_RIGHT_MLO_1,ok,30,29,0.9996497132979493,204472,204472,1.0,1.0
Mass-Training_P_00160_RIGHT_MLO_1,ok,4,3,0.9996284662410916,58056,56826,1.0216450216450217,0.9788135593220338
Mass-Training_P_00160_RIGHT_CC_1,ok,5,4,0.9997781018195651,52864,52864,1.0,1.0
Mass-Training_P_00160_LEFT_MLO_1,ok,10,9,0.9997659039035524,83496,83496,1.0,1.0
Mass-Training_P_00160_LEFT_CC_1,ok,2,1,0.9999674309536217,42600,42600,1.0,1.0
Mass-Training_P_00149_LEFT_MLO_1,ok,7,6,0.9998948751642576,80300,80300,1.0,1.0
Mass-Training_P_00169_RIGHT_MLO_1,ok,20,18,0.9995313791019744,151755,151755,1.0,1.0
Mass-Training_P_00172_LEFT_CC_1,ok,11,9,0.9996342670280969,201200,201200,1.0,1.0
Mass-Training_P_00166_RIGHT_MLO_1,ok,12,11,0.9995305898920357,56444,56444,1.0,1.0
Mass-Training_P_00166_RIGHT_CC_1,ok,9,8,0.9996573288786088,53965,53965,1.0,1.0
Mass-Training_P_00172_LEFT_MLO_1,ok,8,7,0.9999519652228214,236919,236919,1.0,1.0
Mass-Training_P_00174_RIGHT_MLO_1,ok,12,11,0.9998580167303619,141960,141960,1.0,1.0
Mass-Training_P_00174_RIGHT_CC_1,ok,8,7,0.9997745301002317,77748,77180,1.0073594195387405,0.9926943458352626
Mass-Training_P_00187_LEFT_MLO_1,ok,11,10,0.9994451636767153,45045,44850,1.0043478260869565,0.9956709956709957
Mass-Training_P_00175_RIGHT_MLO_1,ok,22,21,0.9993823347745522,85500,85500,1.0,1.0
Mass-Training_P_00175_RIGHT_CC_1,ok,8,7,0.9997537442073922,70854,70854,1.0,1.0
Mass-Training_P_00187_LEFT_CC_1,ok,8,7,0.9998693216158382,90662,90662,1.0,1.0
Mass-Training_P_00205_RIGHT_CC_1,ok,14,12,0.9987862999911192,53760,53760,1.0,1.0
Mass-Training_P_00199_LEFT_MLO_1,ok,1,0,1.0,163611,163611,1.0,1.0
Mass-Training_P_00199_LEFT_CC_1,ok,16,15,0.9997772061653131,155067,155067,1.0,1.0
Mass-Training_P_00207_LEFT_CC_3,ok,6,5,0.99936,26640,26640,1.0,1.0
Mass-Training_P_00207_LEFT_CC_2,ok,13,12,0.9986595773200483,46566,46367,1.0042918454935623,0.9957264957264957
Mass-Training_P_00207_LEFT_CC_1,ok,7,6,0.9996012229163898,36750,36750,1.0,1.0
Mass-Training_P_00207_LEFT_MLO_1,ok,6,5,0.9992889872017696,22605,22605,1.0,1.0
Mass-Training_P_00206_RIGHT_MLO_1,ok,1,0,1.0,202464,202464,1.0,1.0
Mass-Training_P_00207_LEFT_MLO_3,ok,4,3,0.9998192743866624,35705,35705,1.0,1.0
Mass-Training_P_00207_LEFT_MLO_2,ok,6,5,0.9995628824778319,33630,33630,1.0,1.0
Mass-Training_P_00190_LEFT_MLO_1,ok,28,27,0.9998144544508304,361662,360456,1.003345762034756,0.996665394760854
Mass-Training_P_00205_RIGHT_MLO_1,ok,13,12,0.999500546277509,51480,51246,1.004566210045662,0.9954545454545455
Mass-Training_P_00217_LEFT_CC_1,ok,13,12,0.9995640259093174,53743,53743,1.0,1.0
Mass-Training_P_00224_LEFT_CC_1,ok,12,11,0.9994013171023748,40848,40848,1.0,1.0
Mass-Training_P_00218_LEFT_MLO_1,ok,4,3,0.999684807732717,30276,30276,1.0,1.0
Mass-Training_P_00215_RIGHT_CC_1,ok,11,10,0.9994374384698327,37840,37840,1.0,1.0
Mass-Training_P_00224_RIGHT_CC_1,ok,14,13,0.9998581484830753,171275,171275,1.0,1.0
Mass-Training_P_00224_LEFT_MLO_1,ok,25,24,0.9990058619862192,47470,47470,1.0,1.0
Mass-Training_P_00208_RIGHT_MLO_3,ok,12,11,0.9997878321752506,89148,89148,1.0,1.0
Mass-Training_P_00221_RIGHT_MLO_1,ok,9,8,0.999539453484802,31200,31044,1.0050251256281406,0.995
Mass-Training_P_00219_RIGHT_CC_1,ok,5,4,0.9999088605749075,80416,80416,1.0,1.0
Mass-Training_P_00218_LEFT_CC_1,ok,7,5,0.9987393115544837,32860,32436,1.0130718954248366,0.9870967741935484
Mass-Training_P_00234_LEFT_CC_1,ok,38,37,0.9998352610083399,421301,421301,1.0,1.0
Mass-Training_P_00229_LEFT_MLO_1,ok,28,27,0.9995620848929715,146231,146231,1.0,1.0
Mass-Training_P_00229_LEFT_CC_1,ok,5,4,0.999894080886896,77686,77686,1.0,1.0
Mass-Training_P_00231_LEFT_MLO_1,ok,20,19,0.9995310888117791,78477,78477,1.0,1.0
Mass-Training_P_00224_RIGHT_MLO_1,ok,27,26,0.9997674696296482,249873,248979,1.0035906642728905,0.9964221824686941
Mass-Training_P_00231_LEFT_CC_1,ok,12,11,0.9998025276461295,90592,90592,1.0,1.0
Mass-Training_P_00226_LEFT_MLO_1,ok,15,14,0.9998887366744783,208675,208675,1.0,1.0
Mass-Training_P_00225_RIGHT_CC_1,ok,5,4,0.9998661060975284,52224,52224,1.0,1.0
Mass-Training_P_00225_RIGHT_MLO_1,ok,13,12,0.9995792241946088,55825,55419,1.0073260073260073,0.9927272727272727
Mass-Training_P_00226_LEFT_CC_1,ok,38,37,0.9997525002525508,265224,264708,1.0019493177387915,0.9980544747081712
Mass-Training_P_00239_RIGHT_CC_1,ok,7,6,0.9998590656049609,68580,68580,1.0,1.0
Mass-Training_P_00240_RIGHT_CC_1,ok,12,11,0.999788298982323,112880,112880,1.0,1.0
Mass-Training_P_00239_RIGHT_MLO_1,ok,10,9,0.9996730067033626,56196,56196,1.0,1.0
Mass-Training_P_00236_RIGHT_MLO_1,ok,18,17,0.999784795825039,229235,229235,1.0,1.0
Mass-Training_P_00240_RIGHT_MLO_1,ok,9,8,0.9997572962805655,54250,54000,1.0046296296296295,0.9953917050691244
Mass-Training_P_00235_RIGHT_CC_1,ok,11,9,0.999637201085242,122100,122100,1.0,1.0
Mass-Training_P_00242_RIGHT_CC_1,ok,9,8,0.9998391507157793,98475,98475,1.0,1.0
Mass-Training_P_00242_RIGHT_MLO_1,ok,7,6,0.999878707016799,78432,78128,1.0038910505836576,0.9961240310077519
Mass-Training_P_00235_RIGHT_MLO_1,ok,8,7,0.9996194520108956,86688,86688,1.0,1.0
Mass-Training_P_00247_RIGHT_CC_1,ok,3,1,0.999861562083113,116424,116424,1.0,1.0
Mass-Training_P_00247_RIGHT_MLO_1,ok,12,11,0.9998562764092098,150508,150508,1.0,1.0
Mass-Training_P_00254_LEFT_CC_1,ok,10,9,0.999783435198999,55860,55860,1.0,1.0
Mass-Training_P_00241_RIGHT_CC_1,ok,8,7,0.9997224599301524,66240,66240,1.0,1.0
Mass-Training_P_00241_RIGHT_MLO_1,ok,20,19,0.9995840006655989,72891,72624,1.0036764705882353,0.9963369963369964
Mass-Training_P_00259_RIGHT_CC_1,ok,28,27,0.9993404869701615,88350,87756,1.0067687679474908,0.993276740237691
Mass-Training_P_00259_RIGHT_MLO_1,ok,9,8,0.9997911396811399,76410,76410,1.0,1.0
Mass-Training_P_00264_LEFT_MLO_1,ok,11,10,0.9997724549081476,111188,111188,1.0,1.0
Mass-Training_P_00264_LEFT_CC_1,ok,7,6,0.9997588385665365,61745,61745,1.0,1.0
Mass-Training_P_00248_LEFT_MLO_1,ok,11,10,0.9998656600123593,109935,109586,1.0031847133757963,0.9968253968253968
Mass-Training_P_00254_LEFT_MLO_1,ok,10,9,0.9997309592525558,60025,60025,1.0,1.0
Mass-Training_P_00265_RIGHT_CC_1,ok,9,8,0.9999413778548984,236944,236944,1.0,1.0
Mass-Training_P_00265_RIGHT_MLO_1,ok,40,38,0.9997582054161986,425714,425714,1.0,1.0
Mass-Training_P_00283_RIGHT_CC_1,ok,15,14,0.9998290659164559,205884,205884,1.0,1.0
Mass-Training_P_00289_LEFT_CC_1,ok,5,4,0.9997414818261724,35112,35112,1.0,1.0
Mass-Training_P_00273_LEFT_CC_1,ok,1,0,1.0,143637,143637,1.0,1.0
Mass-Training_P_00287_RIGHT_CC_1,ok,23,22,0.9996533649856619,142048,142048,1.0,1.0
Mass-Training_P_00281_LEFT_MLO_1,ok,7,6,0.9998874840016315,125730,125730,1.0,1.0
Mass-Training_P_00279_LEFT_CC_1,ok,3,2,0.9999504827927704,89676,89676,1.0,1.0
Mass-Training_P_00283_RIGHT_MLO_1,ok,9,8,0.9998493417392916,135682,135682,1.0,1.0
Mass-Training_P_00287_RIGHT_MLO_1,ok,2,1,0.9999867167886508,97319,97319,1.0,1.0
Mass-Training_P_00289_LEFT_MLO_1,ok,8,7,0.9997422182122833,45576,45576,1.0,1.0
Mass-Training_P_00294_LEFT_MLO_1,ok,3,2,0.9999162584264958,33674,33674,1.0,1.0
Mass-Training_P_00294_LEFT_CC_1,ok,5,4,0.9998527159184636,62937,62937,1.0,1.0
Mass-Training_P_00303_LEFT_MLO_1,ok,7,6,0.9998709261051952,71906,71906,1.0,1.0
Mass-Training_P_00298_LEFT_CC_1,ok,9,8,0.9995900659310627,47488,47488,1.0,1.0
Mass-Training_P_00303_RIGHT_MLO_1,ok,14,13,0.9995978706292368,80518,80518,1.0,1.0
Mass-Training_P_00303_RIGHT_CC_1,ok,8,7,0.9997042243719118,94997,94997,1.0,1.0
Mass-Training_P_00304_LEFT_MLO_1,ok,2,1,0.9999610985762079,36608,36608,1.0,1.0
Mass-Training_P_00303_LEFT_CC_1,ok,6,5,0.9997073598985514,27966,27966,1.0,1.0
Mass-Training_P_00298_LEFT_MLO_1,ok,10,9,0.9998134850321738,88184,88184,1.0,1.0
Mass-Training_P_00309_LEFT_CC_1,ok,15,14,0.9994869383043311,72630,72630,1.0,1.0
Mass-Training_P_00309_LEFT_MLO_2,ok,7,6,0.9993888697910699,48672,48672,1.0,1.0
Mass-Training_P_00309_LEFT_CC_2,ok,6,5,0.999578710855217,35150,35150,1.0,1.0
Mass-Training_P_00313_RIGHT_CC_1,ok,4,3,0.9999400059994,68200,68200,1.0,1.0
Mass-Training_P_00314_RIGHT_MLO_1,ok,33,32,0.999874033129287,472872,472872,1.0,1.0
Mass-Training_P_00309_LEFT_MLO_1,ok,12,11,0.9996619413580943,65604,65604,1.0,1.0
Mass-Training_P_00313_RIGHT_MLO_1,ok,3,2,0.9999444706666296,55430,55430,1.0,1.0
Mass-Training_P_00314_RIGHT_CC_1,ok,26,25,0.9999140812276074,467142,467142,1.0,1.0
Mass-Training_P_00319_LEFT_MLO_1,ok,11,9,0.9998387419290335,261422,261422,1.0,1.0
Mass-Training_P_00319_LEFT_CC_1,ok,13,12,0.9999251216772744,402845,402132,1.00177304964539,0.9982300884955753
Mass-Training_P_00317_RIGHT_MLO_1,ok,6,5,0.999647623662071,33048,33048,1.0,1.0
Mass-Training_P_00332_LEFT_CC_1,ok,1,0,1.0,31416,31416,1.0,1.0
Mass-Training_P_00320_LEFT_CC_1,ok,14,13,0.999741653418124,69966,69966,1.0,1.0
Mass-Training_P_00330_LEFT_CC_1,ok,9,8,0.9996358891889432,51040,51040,1.0,1.0
Mass-Training_P_00330_LEFT_MLO_1,ok,6,5,0.9997893480321596,45570,45150,1.0093023255813953,0.9907834101382489
Mass-Training_P_00320_LEFT_MLO_1,ok,13,12,0.9997365802259556,108514,108514,1.0,1.0
Mass-Training_P_00328_RIGHT_CC_2,ok,7,6,0.9997278372961872,60198,59944,1.0042372881355932,0.9957805907172996
Mass-Training_P_00328_RIGHT_MLO_1,ok,10,9,0.9997662944689691,58824,58824,1.0,1.0
Mass-Training_P_00328_LEFT_MLO_1,ok,21,20,0.9997611764813947,204000,204000,1.0,1.0
Mass-Training_P_00328_RIGHT_CC_1,ok,18,17,0.9996441626500178,98580,98580,1.0,1.0
Mass-Training_P_00328_RIGHT_MLO_2,ok,4,3,0.9999012020418244,44426,44426,1.0,1.0
Mass-Training_P_00333_RIGHT_CC_1,ok,29,28,0.999403281949279,118260,118260,1.0,1.0
Mass-Training_P_00333_RIGHT_MLO_1,ok,19,18,0.9997092325002213,115591,115591,1.0,1.0
Mass-Training_P_00332_RIGHT_MLO_1,ok,19,18,0.9995795858921037,103994,103994,1.0,1.0
Mass-Training_P_00332_RIGHT_CC_1,ok,8,7,0.9998911319170114,94116,93840,1.0029411764705882,0.9970674486803519
Mass-Training_P_00332_LEFT_MLO_1,ok,12,11,0.9995826921572207,53172,53172,1.0,1.0
Mass-Training_P_00334_LEFT_MLO_1,ok,28,27,0.9998083807707767,313740,313740,1.0,1.0
Mass-Training_P_00348_LEFT_CC_1,ok,7,6,0.999428053953577,34390,34209,1.0052910052910053,0.9947368421052631
Mass-Training_P_00348_LEFT_MLO_1,ok,16,15,0.9992249217469071,53250,53250,1.0,1.0
Mass-Training_P_00335_LEFT_MLO_1,ok,19,18,0.9998601502918197,313500,313500,1.0,1.0
Mass-Training_P_00342_RIGHT_MLO_1,ok,7,6,0.999706558419328,33000,33000,1.0,1.0
Mass-Training_P_00351_LEFT_CC_1,ok,11,10,0.9998542683751965,136510,136510,1.0,1.0
Mass-Training_P_00361_RIGHT_MLO_1,ok,5,4,0.9999133846673538,174048,174048,1.0,1.0
Mass-Training_P_00342_RIGHT_MLO_3,ok,9,8,0.9995563245929279,33971,33971,1.0,1.0
Mass-Training_P_00342_RIGHT_MLO_2,ok,13,12,0.9990264481583644,32868,32868,1.0,1.0
Mass-Training_P_00356_LEFT_CC_1,ok,5,4,0.9999460694759975,248110,248110,1.0,1.0
Mass-Training_P_00351_LEFT_MLO_1,ok,17,16,0.9997388276262333,156792,156792,1.0,1.0
Mass-Training_P_00354_LEFT_CC_1,ok,15,13,0.9995476016233118,142766,141440,1.009375,0.9907120743034056
Mass-Training_P_00342_RIGHT_CC_1,ok,3,2,0.9998690842442888,20572,20572,1.0,1.0
Mass-Training_P_00363_LEFT_CC_1,ok,25,24,0.9996663175359404,173436,173436,1.0,1.0
Mass-Training_P_00354_LEFT_MLO_1,ok,3,2,0.9999498759429588,59752,59752,1.0,1.0
Mass-Training_P_00376_RIGHT_MLO_1,ok,2,1,0.9999375234287142,24650,24650,1.0,1.0
Mass-Training_P_00363_LEFT_MLO_1,ok,16,14,0.999751421222143,311220,311220,1.0,1.0
Mass-Training_P_00370_RIGHT_CC_1,ok,9,8,0.9993962347000385,36256,36256,1.0,1.0
Mass-Training_P_00366_RIGHT_MLO_1,ok,3,2,0.9999295452143587,46366,46366,1.0,1.0
Mass-Training_P_00370_RIGHT_MLO_1,ok,12,11,0.9994874184529356,42420,42420,1.0,1.0
Mass-Training_P_00366_RIGHT_CC_1,ok,5,4,0.9996180178062469,53312,53312,1.0,1.0
Mass-Training_P_00376_RIGHT_CC_1,ok,13,12,0.9994763222862273,46556,46330,1.0048780487804878,0.9951456310679612
Mass-Training_P_00376_RIGHT_MLO_3,ok,13,12,0.9993848046754845,42224,42224,1.0,1.0
Mass-Training_P_00376_RIGHT_MLO_2,ok,10,9,0.9995353159851301,38340,38340,1.0,1.0
